年份,排名,财富,排名变化,个人信息,企业信息
2015,1,￥ 2200 亿,1,王健林家族先生  61,"万达
行业：房地产、文化"
2015,2,￥ 1450 亿,-1,马云家族先生  51,"阿里巴巴、蚂蚁金服
行业：电子商务、金融服务"
2015,3,￥ 1350 亿,0,宗庆后家族先生  70,"娃哈哈
行业：饮料"
2015,4,￥ 1200 亿,1,马化腾先生  44,"腾讯
行业：IT、娱乐"
2015,5,￥ 920 亿,5,雷军先生  46,"小米
行业：手机、投资"
2015,6,￥ 910 亿,1,严昊家族先生  29,"苏太华系
行业：基础建设"
2015,7,￥ 850 亿,-1,李彦宏、马东敏夫妇先生  47、女士  45,"百度
行业：搜索引擎"
2015,8,￥ 830 亿,16,卢志强家族先生  63,"泛海
行业：房地产、金融、投资"
2015,9,￥ 810 亿,2,张近东先生  52,"苏宁云商
行业：零售、房地产"
2015,10,￥ 650 亿,9,鲁冠球家族先生  70,"万向
行业：汽车制造业、房地产、农业"
2015,10,￥ 650 亿,-2,严彬先生  61,"华彬
行业：饮料、地产、投资"
2015,12,￥ 630 亿,-9,李河君先生  48,"汉能
行业：太阳能、水电"
2015,13,￥ 600 亿,3,何享健、何剑锋父子先生  73、先生  48,"美的
行业：家电制造"
2015,13,￥ 600 亿,2,许家印先生  57,"恒大
行业：房地产、投资"
2015,15,￥ 550 亿,-1,王文银、刘结红夫妇先生  47、女士  未知,"正威
行业：有色金属、半导体"
2015,16,￥ 510 亿,7,丁磊先生  44,"网易
行业：IT、娱乐"
2015,17,￥ 500 亿,15,郭广昌先生  48,"复星
行业：投资、钢铁、医药"
2015,17,￥ 500 亿,New ~,周群飞、郑俊龙夫妇女士  45、先生  43,"蓝思科技
行业：电子器件制造"
2015,19,￥ 495 亿,-2,陈丽华女士  74,"富华
行业：房地产、紫檀博物馆"
2015,20,￥ 485 亿,-9,张士平家族先生  未知,"魏桥创业
行业：纺织、铝业"
2015,21,￥ 480 亿,102,郑跃文先生  53,"科瑞
行业：生物制药、投资"
2015,21,￥ 480 亿,19,王文学先生  48,"华夏幸福
行业：房地产"
2015,21,￥ 480 亿,91,王靖先生  未知,"信威
行业：无线通信"
2015,24,￥ 460 亿,8,周建平家族先生  54,"海澜
行业：服装、投资"
2015,25,￥ 450 亿,5,刘永好家族先生  64,"新希望
行业：农业、化工、金融"
2015,25,￥ 450 亿,13,孙广信先生  53,"广汇
行业：汽车销售、能源、房地产"
2015,25,￥ 450 亿,26,贾跃亭先生  42,"乐视
行业：IT"
2015,28,￥ 445 亿,-19,刘强东先生  41,"京东
行业：电子商务"
2015,29,￥ 420 亿,-9,刘永行家族先生  67,"东方希望
行业：氧化铝、重化工、饲料"
2015,30,￥ 405 亿,-19,杨惠妍女士  34,"碧桂园
行业：房地产"
2015,31,￥ 395 亿,-10,张志东先生  43,"腾讯
行业：IT、娱乐"
2015,32,￥ 390 亿,-10,魏建军、韩雪娟夫妇先生  51、女士  49,"长城
行业：汽车"
2015,33,￥ 380 亿,3,史玉柱家族先生  53,"巨人
行业：金融、在线游戏、投资"
2015,33,￥ 380 亿,-9,李金元先生  57,"天狮
行业：保健品"
2015,33,￥ 380 亿,-4,梁稳根先生  59,"三一
行业：重型机械"
2015,36,￥ 375 亿,-8,王传福先生  49,"比亚迪
行业：汽车、手机零部件、充电电池"
2015,37,￥ 370 亿,206,王广西、郭天舒夫妇先生  46、女士  未知,"永泰
行业：能源"
2015,37,￥ 370 亿,24,袁亚非先生  51,"三胞
行业：IT连锁、房地产、投资"
2015,37,￥ 370 亿,0,黄伟、李萍夫妇先生  56、女士  未知,"新湖
行业：房地产、金融"
2015,40,￥ 360 亿,34,方威先生  42,"方大
行业：碳素、钢铁、煤焦"
2015,41,￥ 350 亿,-24,许荣茂家族先生  65,"世茂
行业：房地产"
2015,42,￥ 345 亿,-16,吕向阳、张长虹夫妇先生  52、女士  54,"融捷投资
行业：投资"
2015,43,￥ 340 亿,35,林秀成、林志强父子先生  60、先生  41,"三安
行业：LED"
2015,44,￥ 330 亿,39,于泳先生  未知,"鸿商产业
行业：钼矿"
2015,45,￥ 320 亿,-19,祝义财、吴学琴夫妇先生  51、女士  未知,"雨润
行业：食品、房地产、零售"
2015,45,￥ 320 亿,-2,龚虹嘉、陈春梅夫妇先生  50、女士  50,"海康威视
行业：视频监控产品"
2015,47,￥ 310 亿,43,马兴田家族先生  46,"康美药业
行业：医药"
2015,48,￥ 305 亿,91,杜江涛、郝虹夫妇先生  46、女士  未知,"君正
行业：煤电、金融投资"
2015,49,￥ 300 亿,29,车建兴先生  49,"红星美凯龙
行业：家具连锁"
2015,49,￥ 300 亿,-17,王玉锁、赵宝菊夫妇先生  51、女士  50,"新奥
行业：天然气、能源化工"
2015,49,￥ 300 亿,-1,朱孟依家族先生  56,"合生创展
行业：房地产、投资"
2015,49,￥ 300 亿,-1,陈建华、范红卫夫妇先生  44、女士  48,"恒力
行业：化纤、石化、房地产"
2015,53,￥ 290 亿,354,其实家族先生  45,"东方财富
行业：信息服务"
2015,53,￥ 290 亿,479,周国辉先生  50,"怡亚通
行业：供应链管理"
2015,55,￥ 280 亿,57,李仲初、焦梅荣夫妇先生  52、女士  未知,"石基
行业：信息技术"
2015,55,￥ 280 亿,-4,魏少军家族先生  52,"隆基泰和
行业：房地产、新能源"
2015,57,￥ 275 亿,0,邱光和家族先生  64,"森马
行业：服装"
2015,57,￥ 275 亿,66,耿建明、杨小青夫妇先生  53、女士  未知,"荣盛
行业：房地产"
2015,57,￥ 275 亿,-10,陈发树先生  54,"新华都
行业：零售、矿、投资"
2015,60,￥ 270 亿,-25,吴亚军家族女士  51,"龙湖
行业：房地产"
2015,60,￥ 270 亿,347,王均金家族先生  47,"均瑶
行业：房地产、航空、零售"
2015,62,￥ 265 亿,68,周成建家族先生  50,"美特斯邦威
行业：服装"
2015,62,￥ 265 亿,21,庞康先生  59,"海天味业
行业：食品"
2015,62,￥ 265 亿,-32,张茵女士  58,"玖龙纸业
行业：环保"
2015,65,￥ 260 亿,296,周晓光、虞云新夫妇先生  53、女士  未知,"新光控股
行业：饰品、房地产、投资"
2015,65,￥ 260 亿,184,苏卫忠先生  47,"华信石油
行业：石油、化工"
2015,65,￥ 260 亿,74,孙喜双先生  62,"一方
行业：房地产、投资"
2015,65,￥ 260 亿,99,王文京先生  51,"用友
行业：软件"
2015,69,￥ 255 亿,-30,姜滨、胡双美夫妇先生  49、女士  49,"歌尔声学
行业：声学及多媒体产品"
2015,70,￥ 250 亿,30,蔡东青家族先生  46,"奥飞动漫
行业：动漫"
2015,70,￥ 250 亿,489,刘晓东先生  48,"百润
行业：香料、酒业"
2015,70,￥ 250 亿,20,罗韶宇、赵洁红夫妇先生  未知、女士  未知,"东银
行业：房地产、特种车辆、投资"
2015,70,￥ 250 亿,139,黄其森、叶荔夫妇先生  50、女士  未知,"泰禾
行业：房地产"
2015,74,￥ 245 亿,86,熊续强先生  未知,"银亿
行业：房地产、矿业、投资"
2015,75,￥ 240 亿,-24,肖建华、周虹文家族先生  44、女士  45,"明天
行业：金融、投资"
2015,75,￥ 240 亿,484,李勇先生  未知,"华信石油
行业：石油、化工"
2015,75,￥ 240 亿,-1,叶澄海、廖清清夫妇先生  72、女士  66,"信立泰
行业：医药"
2015,75,￥ 240 亿,-32,姜照柏先生  52,"鹏欣
行业：乳业、房地产、投资"
2015,79,￥ 235 亿,-36,李书福、李星星父子先生  52、先生  30,"吉利控股
行业：汽车制造"
