年份,排名,企业估值,企业信息,CEO,行业
2019,No.1,￥ 38100 亿,阿里巴巴,张勇,电子商务
2019,No.2,￥ 28500 亿,腾讯控股,马化腾,互联网服务
2019,No.3,￥ 15000 亿,中国平安保险,马明哲,金融
2019,No.4,￥ 12000 亿,华为投资控股,梁华,电信解决方案、智能手机
2019,No.5,￥ 10000 亿,蚂蚁金服,井贤栋,金融科技
2019,No.6,￥ 5500 亿,美团点评,王兴,生活服务
2019,No.7,￥ 5300 亿,字节跳动,张一鸣,传媒和娱乐
2019,No.8,￥ 3800 亿,恒瑞医药,孙飘扬,医药
2019,No.9,￥ 3770 亿,美的集团,何享健,家电制造
2019,No.10,￥ 3600 亿,滴滴出行,程维,共享出行
2019,No.11,￥ 3470 亿,格力电器,董明珠,家电
2019,No.12,￥ 3320 亿,京东集团,刘强东,电子商务
2019,No.13,￥ 2950 亿,海康威视,陈宗年,视频监控产品
2019,No.14,￥ 2930 亿,拼多多,黄峥,电子商务
2019,No.15,￥ 2890 亿,百度,李彦宏,网络信息服务
2019,No.15,￥ 2890 亿,海天调味食品,庞康,调味品
2019,No.17,￥ 2825 亿,网易,丁磊,互联网技术
2019,No.18,￥ 2700 亿,陆金所,计葵生,金融科技
2019,No.19,￥ 2600 亿,中国民生银行,洪崎,银行
2019,No.20,￥ 2210 亿,中国恒大集团,许家印,房地产、投资
2019,No.21,￥ 2185 亿,迈瑞生物医疗电子,李西廷,医疗器械
2019,No.22,￥ 2150 亿,泰康保险,陈东升,保险
2019,No.23,￥ 2140 亿,碧桂园控股,杨国强,房地产
2019,No.24,￥ 1940 亿,小米集团,雷军,智能手机、智能家电
2019,No.25,￥ 1930 亿,宁德时代,曾毓群,锂电池
2019,No.26,￥ 1900 亿,牧原食品,秦英林,畜牧
2019,No.26,￥ 1900 亿,温氏食品集团,温志芬,家禽养殖、动物保健
2019,No.28,￥ 1820 亿,立讯精密工业,王来春,电脑连接线
2019,No.29,￥ 1800 亿,安踏,丁世忠,体育用品
2019,No.30,￥ 1780 亿,伊利实业集团,潘刚,食品饮料
2019,No.31,￥ 1760 亿,好未来,张邦鑫,教育
2019,No.32,￥ 1720 亿,龙湖集团,吴亚军,房地产
2019,No.33,￥ 1675 亿,顺丰控股,王卫,快递
2019,No.34,￥ 1570 亿,海底捞,张勇,餐饮
2019,No.35,￥ 1530 亿,融创中国控股,孙宏斌,房地产
2019,No.36,￥ 1500 亿,微众银行,顾敏,金融科技
2019,No.37,￥ 1450 亿,扬子江药业集团,徐镜人,医药
2019,No.38,￥ 1430 亿,药明康德,李革,生物医药
2019,No.39,￥ 1400 亿,三六零安全科技,周鸿祎,网络信息服务
2019,No.40,￥ 1390 亿,三一集团,梁稳根,重型机械
2019,No.40,￥ 1390 亿,申洲国际,马建荣,纺织、服装
2019,No.42,￥ 1360 亿,携程,梁建章,互联网旅游服务
2019,No.43,￥ 1330 亿,京东数科,陈生强,金融
2019,No.43,￥ 1330 亿,新东方教育科技集团,俞敏洪,教育
2019,No.45,￥ 1300 亿,OPPO,陈明永,智能手机
2019,No.45,￥ 1300 亿,恒力集团,陈建华,化纤、石化、房地产
