年份,排名,企业估值,企业信息,CEO,行业
2025,No.1,￥ 105000 亿,台积电,魏哲家,半导体
2025,No.2,￥ 53300 亿,腾讯控股,马化腾,娱乐
2025,No.3,￥ 34000 亿,字节跳动,张利东,传媒和娱乐
2025,No.4,￥ 27000 亿,阿里巴巴,蔡崇信,电子商务
2025,No.5,￥ 18600 亿,宁德时代,曾毓群,锂电池
2025,No.6,￥ 13200 亿,拼多多,陈磊,电子商务
2025,No.7,￥ 10500 亿,中国平安保险,马明哲,保险
2025,No.8,￥ 10000 亿,小米,雷军,手机、汽车
2025,No.9,￥ 8720 亿,比亚迪,王传福,汽车、充电电池
2025,No.10,￥ 8500 亿,华为,梁华,消费电子、通信
2025,No.11,￥ 7870 亿,友邦保险,杜嘉祺,保险
2025,No.12,￥ 7350 亿,鸿海精密工业,刘扬伟,消费电子元件
2025,No.13,￥ 6350 亿,蚂蚁科技,井贤栋,金融科技
2025,No.14,￥ 6340 亿,网易,丁磊,娱乐
2025,No.15,￥ 6100 亿,美的,方洪波,家电
2025,No.16,￥ 5590 亿,寒武纪,陈天石,半导体
2025,No.17,￥ 5560 亿,美团,王兴,生活服务
2025,No.18,￥ 5550 亿,农夫山泉,钟睒睒,饮料
2025,No.19,￥ 5270 亿,台达电子,郑平,电子设备
2025,No.20,￥ 5140 亿,中际旭创,刘圣,通信设备
2025,No.21,￥ 4340 亿,联发科技,蔡明介,半导体
2025,No.22,￥ 4180 亿,恒瑞医药,孙飘扬,医药
2025,No.23,￥ 4120 亿,立讯精密,王来春,消费电子精密件
2025,No.24,￥ 3880 亿,东方财富,其实,金融数据服务
2025,No.25,￥ 3840 亿,阳光电源,曹仁贤,光伏设备
2025,No.26,￥ 3750 亿,携程,梁建章,互联网旅游服务
2025,No.27,￥ 3550 亿,Shein,许仰天,电子商务
2025,No.27,￥ 3550 亿,洛阳钼业,刘建锋,钼矿
2025,No.29,￥ 3400 亿,京东,刘强东,电子商务
2025,No.30,￥ 3320 亿,沐曦,陈维良,半导体
2025,No.31,￥ 3090 亿,新易盛,高光荣,通信设备
2025,No.32,￥ 2980 亿,百济神州,欧雷强,生物医药
2025,No.33,￥ 2940 亿,百度,李彦宏,网络信息服务
2025,No.34,￥ 2910 亿,中国宏桥,张波,氧化铝
2025,No.35,￥ 2880 亿,富邦金融控股,蔡明兴,金融服务
2025,No.36,￥ 2840 亿,药明康德,李革,生物医药
2025,No.37,￥ 2830 亿,摩尔线程,张建中,半导体
2025,No.38,￥ 2720 亿,牧原,秦英林,畜牧
2025,No.39,￥ 2700 亿,新鸿基地产,郭炳联,房地产
2025,No.40,￥ 2640 亿,快手科技,程一笑,传媒和娱乐
2025,No.40,￥ 2640 亿,泡泡玛特,王宁,玩具
2025,No.42,￥ 2520 亿,迈瑞,李西廷,医疗器械
2025,No.43,￥ 2500 亿,大疆,汪滔,消费电子
2025,No.44,￥ 2390 亿,胜宏科技,陈涛,高密度印制电路板
2025,No.45,￥ 2380 亿,广达电脑,林百里,电子设备
2025,No.46,￥ 2370 亿,海尔智家,李华刚,家用电器
2025,No.47,￥ 2330 亿,赛力斯,张正萍,汽车、汽车零配件
2025,No.47,￥ 2330 亿,中华电信,简志诚,电信服务
2025,No.49,￥ 2300 亿,微众银行,顾敏,金融科技
2025,No.50,￥ 2290 亿,日月光投资控股,张虔生,半导体
2025,No.51,￥ 2280 亿,格力电器,董明珠,家电
2025,No.52,￥ 2230 亿,海天味业,程雪,调味品
2025,No.53,￥ 2200 亿,小红书,毛文超,传媒和娱乐
2025,No.54,￥ 2170 亿,翰森制药,钟慧娟,医药
2025,No.55,￥ 2130 亿,国泰金控,蔡宏图,金融
2025,No.56,￥ 2100 亿,安踏体育,丁世忠,体育用品
2025,No.57,￥ 2010 亿,顺丰控股,王卫,快递
2025,No.58,￥ 1980 亿,米哈游,刘伟,游戏
2025,No.59,￥ 1920 亿,汇川技术,朱兴明,工业自动化产品
2025,No.60,￥ 1900 亿,OPPO,陈明永,消费电子产品
2025,No.60,￥ 1900 亿,长和,李泽钜,投资
2025,No.62,￥ 1880 亿,三一重工,向文波,重型机械
2025,No.63,￥ 1850 亿,中国信托金融控股,颜文隆,金融服务
2025,No.64,￥ 1810 亿,中兴通讯,方榕,通信设备
2025,No.65,￥ 1800 亿,泰康保险,陈东升,保险
2025,No.66,￥ 1790 亿,伊利实业,潘刚,乳制品
2025,No.67,￥ 1780 亿,同花顺,易峥,金融数据服务
2025,No.68,￥ 1760 亿,中国民生银行,高迎欣,银行
2025,No.69,￥ 1750 亿,纬颖,洪丽宁,互联网服务
2025,No.69,￥ 1750 亿,长城汽车,魏建军,汽车
2025,No.71,￥ 1740 亿,滴滴,程维,共享经济
2025,No.72,￥ 1730 亿,富途控股,李华,金融科技
2025,No.72,￥ 1730 亿,三花智控,张亚波,工业设备、汽车零部件、房地产
2025,No.74,￥ 1720 亿,小鹏汽车,何小鹏,新能源汽车
2025,No.75,￥ 1710 亿,恒力集团,陈建华,化纤、石化、房地产
2025,No.76,￥ 1700 亿,福耀玻璃,曹晖,玻璃
2025,No.77,￥ 1690 亿,亿纬锂能,刘金成,锂电池
2025,No.78,￥ 1660 亿,隆基绿能,钟宝申,硅材料
2025,No.79,￥ 1650 亿,VIVO,沈炜,消费电子产品
2025,No.80,￥ 1640 亿,广发证券,林传辉,金融科技
