年份,排名,企业估值,企业信息,CEO,行业
2024,No.1,￥ 69800 亿,台湾积体电路制造,刘德音,半导体
2024,No.2,￥ 34200 亿,腾讯控股,马化腾,互联网服务
2024,No.3,￥ 16300 亿,字节跳动,张利东,传媒和娱乐
2024,No.4,￥ 15400 亿,阿里巴巴,蔡崇信,电子商务
2024,No.5,￥ 11700 亿,宁德时代,曾毓群,锂电池
2024,No.6,￥ 11400 亿,拼多多,陈磊,电子商务
2024,No.7,￥ 9500 亿,美团,王兴,生活服务
2024,No.8,￥ 9150 亿,中国平安保险,马明哲,保险
2024,No.9,￥ 7930 亿,比亚迪,王传福,汽车
2024,No.10,￥ 6800 亿,华为,梁华,手机、电讯
2024,No.11,￥ 6430 亿,小米集团,雷军,智能手机、智能家电
2024,No.12,￥ 6310 亿,鸿海精密工业,刘扬伟,消费电子元件
2024,No.13,￥ 5700 亿,友邦保险,谢仕荣,保险
2024,No.14,￥ 5600 亿,蚂蚁科技,井贤栋,金融科技
2024,No.15,￥ 5490 亿,美的集团,方洪波,家电
2024,No.16,￥ 4500 亿,希音,许仰天,电商
2024,No.17,￥ 4480 亿,联发科技,蔡明介,半导体
2024,No.18,￥ 4050 亿,东方财富,其实,金融数据服务
2024,No.19,￥ 3960 亿,网易,丁磊,互联网技术
2024,No.20,￥ 3880 亿,京东集团,刘强东,电子商务
2024,No.21,￥ 3280 亿,迈瑞生物医疗电子,李西廷,医疗器械
2024,No.22,￥ 3190 亿,农夫山泉,钟睒睒,饮料
2024,No.23,￥ 3040 亿,恒瑞医药,孙飘扬,医药
2024,No.24,￥ 2940 亿,携程集团,梁建章,互联网旅游服务
2024,No.25,￥ 2840 亿,立讯精密,王来春,消费电子精密件
2024,No.26,￥ 2740 亿,富邦金融控股,蔡明兴,金融服务
2024,No.27,￥ 2590 亿,海尔智家,李华刚,家用电器
2024,No.28,￥ 2560 亿,海天调味食品,程雪,调味品
2024,No.29,￥ 2520 亿,广达电脑,林百里,电子设备
2024,No.30,￥ 2420 亿,格力电器,董明珠,家电
2024,No.31,￥ 2300 亿,牧原集团,秦英林,畜牧
2024,No.31,￥ 2300 亿,微众银行,顾敏,金融科技
2024,No.33,￥ 2210 亿,台达电子,郑平,电子设备
2024,No.34,￥ 2160 亿,国泰金控,蔡宏图,金融
2024,No.35,￥ 2120 亿,百度,李彦宏,网络信息服务
2024,No.36,￥ 2110 亿,中华电信,郭水义,电信服务
2024,No.37,￥ 2090 亿,安踏体育,丁世忠,体育用品
2024,No.38,￥ 2080 亿,长城汽车,魏建军,汽车
2024,No.39,￥ 2070 亿,顺丰控股,王卫,快递
2024,No.40,￥ 2040 亿,快手科技,程一笑,传媒和娱乐
2024,No.40,￥ 2040 亿,新鸿基地产,郭炳联,房地产
2024,No.42,￥ 1990 亿,赛力斯,张正萍,汽车、汽车零配件
2024,No.43,￥ 1890 亿,寒武纪,陈天石,人工智能芯片
2024,No.44,￥ 1860 亿,阳光电源,曹仁贤,新能源电源设备
2024,No.44,￥ 1860 亿,伊利实业,潘刚,乳制品
2024,No.46,￥ 1770 亿,泰康保险,陈东升,保险
2024,No.47,￥ 1760 亿,创科实业,Horst Julius Pudwill,消费品
2024,No.48,￥ 1750 亿,米哈游,刘伟,游戏
2024,No.49,￥ 1710 亿,理想汽车,李想,新能源汽车
2024,No.50,￥ 1690 亿,贝壳,彭永东,房地产服务
2024,No.51,￥ 1670 亿,滴滴,程维,共享经济
2024,No.52,￥ 1590 亿,中国信托金融控股,颜文隆,金融服务
2024,No.53,￥ 1580 亿,中际旭创,刘圣,通信设备
