年份,排名,财富,排名变化,个人信息,企业信息
2002,1,￥ 70 亿,  ,荣智健先生  60,"中信泰富
行业：基础设施、房地产、市场零售"
2002,2,￥ 65 亿,  ,许荣茂先生  52,"世茂集团
行业：香港、上海、北京、福建房地产"
2002,3,￥ 50 亿,  ,孙广信先生  40,"新疆广汇企业投资集团
行业：乌鲁木齐房地产、建筑材料、天然气"
2002,4,￥ 47 亿,  ,鲁冠球先生  57,"浙江万向集团
行业：汽车零配件"
2002,5,￥ 47 亿,  ,陈丽华女士  61,"香港富华国际集团
行业：北京房地产、紫檀木博物馆"
2002,6,￥ 45 亿,  ,刘永好先生  51,"新希望集团
行业：饲料、金融、房地产"
2002,6,￥ 45 亿,  ,叶立培先生  58,"仲盛集团
行业：上海房地产"
2002,8,￥ 40 亿,  ,刘永行先生  54,"东方希望集团
行业：饲料"
2002,9,￥ 30 亿,  ,郭广昌先生  35,"复星高科技集团
行业：上海房地产、医药、零售"
2002,9,￥ 30 亿,  ,刘汉元先生  38,"通威集团
行业：鱼饲料、鱼养殖"
2002,11,￥ 27 亿,  ,周正毅先生  41,"农凯集团
行业：上海房地产、基础设施、农业、金融"
2002,12,￥ 25 亿,  ,荣海先生  45,"西安海星科技集团
行业：IT系统、果汁、西安房地产"
2002,12,￥ 25 亿,  ,徐明先生  31,"大连实德集团
行业：化工建材、足球俱乐部"
2002,12,￥ 25 亿,  ,左宗申先生  49,"宗申集团
行业：摩托车、发动机"
2002,15,￥ 24 亿,  ,陶新康先生  49,"上海新高潮集团
行业：木制品"
2002,15,￥ 24 亿,  ,明金星先生  44,"大众食品控股
行业：屠宰场和猪肉加工"
2002,17,￥ 22 亿,  ,杨卓舒先生  50,"卓达集团
行业：石家庄房地产"
2002,18,￥ 21 亿,  ,夏朝嘉先生  53,"禾嘉集团
行业：农业、阀门制造、基础设施"
2002,19,￥ 20 亿,  ,张思民先生  40,"海王生物工程集团
行业：医药"
2002,19,￥ 20 亿,  ,张涌先生  36,"林凤集团
行业：投资、成都房地产"
2002,21,￥ 19 亿,  ,沈雯先生  44,"上海紫江集团
行业：印刷包装、精密仪器、上海房地产"
